NAPS_ID,EMS_ID,STATION_NAME,REGION,OWNER,DATE,MONTH,YEAR,MONTHLY1-HR_AVG-STATION,ANNUAL1-HR_AVG-STATION,MONTHLY1-HR_AVG-REGION,ANNUAL1-HR_AVG-REGION
106700,E273443,Crofton Escarpment Way,01 - Vancouver Island,INDUSTRY,2009-01-01 01:00,1,2009,0.561,0.532,4.48,3.047
100316,E264882,Langford Lakewood Elementary School,01 - Vancouver Island,ENV,2009-01-01 01:00,1,2009,8.509,4.054,4.48,3.047
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,2009-01-01 01:00,1,2009,6.23,7.41,4.48,3.047
10,E253229,Central Saanich Stellys Cross Road,01 - Vancouver Island,ENV,2009-01-01 01:00,1,2009,3.221,2.181,4.48,3.047
106701,E220217,Crofton Substation,01 - Vancouver Island,INDUSTRY,2009-01-01 01:00,1,2009,1.385,1.199,4.48,3.047
102801,E222520,Elk Falls Dogwood,01 - Vancouver Island,INDUSTRY,2009-01-01 01:00,1,2009,4.57,1.992,4.48,3.047
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,2009-01-01 01:00,1,2009,9.883,4.068,4.48,3.047
10,E266302,Quadra Island Cape Mudge Village,01 - Vancouver Island,INDUSTRY,2009-01-01 01:00,1,2009,1.543,1.122,4.48,3.047
106700,E273443,Crofton Escarpment Way,01 - Vancouver Island,INDUSTRY,2009-02-01 00:00,2,2009,0.161,0.532,4.327,3.047
100316,E264882,Langford Lakewood Elementary School,01 - Vancouver Island,ENV,2009-02-01 00:00,2,2009,7.035,4.054,4.327,3.047
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,2009-02-01 00:00,2,2009,15.012,7.41,4.327,3.047
10,E253229,Central Saanich Stellys Cross Road,01 - Vancouver Island,ENV,2009-02-01 00:00,2,2009,3.461,2.181,4.327,3.047
106701,E220217,Crofton Substation,01 - Vancouver Island,INDUSTRY,2009-02-01 00:00,2,2009,1.412,1.199,4.327,3.047
102801,E222520,Elk Falls Dogwood,01 - Vancouver Island,INDUSTRY,2009-02-01 00:00,2,2009,2.043,1.992,4.327,3.047
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,2009-02-01 00:00,2,2009,4.785,4.068,4.327,3.047
10,E266302,Quadra Island Cape Mudge Village,01 - Vancouver Island,INDUSTRY,2009-02-01 00:00,2,2009,0.882,1.122,4.327,3.047
106700,E273443,Crofton Escarpment Way,01 - Vancouver Island,INDUSTRY,2009-03-01 00:00,3,2009,0.986,0.532,2.276,3.047
100316,E264882,Langford Lakewood Elementary School,01 - Vancouver Island,ENV,2009-03-01 00:00,3,2009,3.37,4.054,2.276,3.047
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,2009-03-01 00:00,3,2009,5.447,7.41,2.276,3.047
10,E253229,Central Saanich Stellys Cross Road,01 - Vancouver Island,ENV,2009-03-01 00:00,3,2009,1.673,2.181,2.276,3.047
106701,E220217,Crofton Substation,01 - Vancouver Island,INDUSTRY,2009-03-01 00:00,3,2009,0.962,1.199,2.276,3.047
102801,E222520,Elk Falls Dogwood,01 - Vancouver Island,INDUSTRY,2009-03-01 00:00,3,2009,1.157,1.992,2.276,3.047
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,2009-03-01 00:00,3,2009,3.994,4.068,2.276,3.047
10,E266302,Quadra Island Cape Mudge Village,01 - Vancouver Island,INDUSTRY,2009-03-01 00:00,3,2009,0.612,1.122,2.276,3.047
106700,E273443,Crofton Escarpment Way,01 - Vancouver Island,INDUSTRY,2009-04-01 00:00,4,2009,0.266,0.532,2.018,3.047
100316,E264882,Langford Lakewood Elementary School,01 - Vancouver Island,ENV,2009-04-01 00:00,4,2009,2.809,4.054,2.018,3.047
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,2009-04-01 00:00,4,2009,5.358,7.41,2.018,3.047
