NAPS_ID,EMS_ID,STATION_NAME,REGION,OWNER,DATE,MONTH,YEAR,MONTHLY1-HR_AVG-STATION,ANNUAL1-HR_AVG-STATION,MONTHLY1-HR_AVG-REGION,ANNUAL1-HR_AVG-REGION
106700,E273443,Crofton Escarpment Way,01 - Vancouver Island,INDUSTRY,2009-01-01 01:00,1,2009,1.826,0.517,1.675,2.661
100316,E264882,Langford Lakewood Elementary School,01 - Vancouver Island,ENV,2009-01-01 01:00,1,2009,0.795,0.681,1.675,2.661
107001,E221822,Port Alice Lake Road,01 - Vancouver Island,INDUSTRY,2009-01-01 01:00,1,2009,2.815,8.898,1.675,2.661
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,2009-01-01 01:00,1,2009,0.897,1.374,1.675,2.661
10,0110501,Port Alice Trailer,01 - Vancouver Island,INDUSTRY,2009-01-01 01:00,1,2009,5.474,4.392,1.675,2.661
106701,E220217,Crofton Substation,01 - Vancouver Island,INDUSTRY,2009-01-01 01:00,1,2009,0.667,0.591,1.675,2.661
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,2009-01-01 01:00,1,2009,0.614,0.612,1.675,2.661
10,E266302,Quadra Island Cape Mudge Village,01 - Vancouver Island,INDUSTRY,2009-01-01 01:00,1,2009,0.275,0.542,1.675,2.661
107000,E221821,Rumble Beach Hospital,01 - Vancouver Island,INDUSTRY,2009-02-04 19:00,2,2009,14.896,9.026,3.835,2.661
106700,E273443,Crofton Escarpment Way,01 - Vancouver Island,INDUSTRY,2009-02-01 00:00,2,2009,0.775,0.517,3.835,2.661
100316,E264882,Langford Lakewood Elementary School,01 - Vancouver Island,ENV,2009-02-01 00:00,2,2009,1.024,0.681,3.835,2.661
107001,E221822,Port Alice Lake Road,01 - Vancouver Island,INDUSTRY,2009-02-01 00:00,2,2009,7.749,8.898,3.835,2.661
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,2009-02-01 00:00,2,2009,1.059,1.374,3.835,2.661
10,0110501,Port Alice Trailer,01 - Vancouver Island,INDUSTRY,2009-02-01 00:00,2,2009,8.288,4.392,3.835,2.661
106701,E220217,Crofton Substation,01 - Vancouver Island,INDUSTRY,2009-02-01 00:00,2,2009,1.256,0.591,3.835,2.661
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,2009-02-01 00:00,2,2009,0.524,0.612,3.835,2.661
10,E266302,Quadra Island Cape Mudge Village,01 - Vancouver Island,INDUSTRY,2009-02-01 00:00,2,2009,0.399,0.542,3.835,2.661
107000,E221821,Rumble Beach Hospital,01 - Vancouver Island,INDUSTRY,2009-03-01 00:00,3,2009,5.941,9.026,1.895,2.661
106700,E273443,Crofton Escarpment Way,01 - Vancouver Island,INDUSTRY,2009-03-01 00:00,3,2009,0.096,0.517,1.895,2.661
100316,E264882,Langford Lakewood Elementary School,01 - Vancouver Island,ENV,2009-03-01 00:00,3,2009,0.42,0.681,1.895,2.661
107001,E221822,Port Alice Lake Road,01 - Vancouver Island,INDUSTRY,2009-03-01 00:00,3,2009,3.981,8.898,1.895,2.661
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,2009-03-01 00:00,3,2009,0.743,1.374,1.895,2.661
10,0110501,Port Alice Trailer,01 - Vancouver Island,INDUSTRY,2009-03-01 00:00,3,2009,4.757,4.392,1.895,2.661
106701,E220217,Crofton Substation,01 - Vancouver Island,INDUSTRY,2009-03-01 00:00,3,2009,0.181,0.591,1.895,2.661
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,2009-03-01 00:00,3,2009,0.524,0.612,1.895,2.661
10,E266302,Quadra Island Cape Mudge Village,01 - Vancouver Island,INDUSTRY,2009-03-01 00:00,3,2009,0.375,0.542,1.895,2.661
107000,E221821,Rumble Beach Hospital,01 - Vancouver Island,INDUSTRY,2009-04-01 00:00,4,2009,0.439,9.026,0.459,2.661
106700,E273443,Crofton Escarpment Way,01 - Vancouver Island,INDUSTRY,2009-04-01 00:00,4,2009,0.382,0.517,0.459,2.661
100316,E264882,Langford Lakewood Elementary School,01 - Vancouver Island,ENV,2009-04-01 00:00,4,2009,0.828,0.681,0.459,2.661
107001,E221822,Port Alice Lake Road,01 - Vancouver Island,INDUSTRY,2009-04-01 01:00,4,2009,0.18,8.898,0.459,2.661
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,2009-04-01 00:00,4,2009,0.949,1.374,0.459,2.661
10,0110501,Port Alice Trailer,01 - Vancouver Island,INDUSTRY,2009-04-01 01:00,4,2009,0.23,4.392,0.459,2.661
106701,E220217,Crofton Substation,01 - Vancouver Island,INDUSTRY,2009-04-01 00:00,4,2009,0.094,0.591,0.459,2.661
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,2009-04-01 00:00,4,2009,0.575,0.612,0.459,2.661
10,E266302,Quadra Island Cape Mudge Village,01 - Vancouver Island,INDUSTRY,2009-04-01 00:00,4,2009,0.46,0.542,0.459,2.661
107000,E221821,Rumble Beach Hospital,01 - Vancouver Island,INDUSTRY,2009-05-01 00:00,5,2009,4.897,9.026,2.119,2.661
106700,E273443,Crofton Escarpment Way,01 - Vancouver Island,INDUSTRY,2009-05-01 00:00,5,2009,0.143,0.517,2.119,2.661
100316,E264882,Langford Lakewood Elementary School,01 - Vancouver Island,ENV,2009-05-01 00:00,5,2009,0.714,0.681,2.119,2.661
107001,E221822,Port Alice Lake Road,01 - Vancouver Island,INDUSTRY,2009-05-01 00:00,5,2009,6.497,8.898,2.119,2.661
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,2009-05-01 00:00,5,2009,1.591,1.374,2.119,2.661
10,0110501,Port Alice Trailer,01 - Vancouver Island,INDUSTRY,2009-05-01 00:00,5,2009,3.821,4.392,2.119,2.661
106701,E220217,Crofton Substation,01 - Vancouver Island,INDUSTRY,2009-05-01 00:00,5,2009,0.19,0.591,2.119,2.661
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,2009-05-01 00:00,5,2009,0.747,0.612,2.119,2.661
10,E266302,Quadra Island Cape Mudge Village,01 - Vancouver Island,INDUSTRY,2009-05-01 00:00,5,2009,0.497,0.542,2.119,2.661
107000,E221821,Rumble Beach Hospital,01 - Vancouver Island,INDUSTRY,2009-06-01 00:00,6,2009,8.877,9.026,3.916,2.661
10,E277063,Victoria James Bay MAML,01 - Vancouver Island,ENV,2009-06-18 12:00,6,2009,5.395,3.108,3.916,2.661
106700,E273443,Crofton Escarpment Way,01 - Vancouver Island,INDUSTRY,2009-06-01 00:00,6,2009,0.132,0.517,3.916,2.661
100316,E264882,Langford Lakewood Elementary School,01 - Vancouver Island,ENV,2009-06-01 00:00,6,2009,0.453,0.681,3.916,2.661
107001,E221822,Port Alice Lake Road,01 - Vancouver Island,INDUSTRY,2009-06-01 00:00,6,2009,15.781,8.898,3.916,2.661
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,2009-06-01 00:00,6,2009,1.674,1.374,3.916,2.661
10,0110501,Port Alice Trailer,01 - Vancouver Island,INDUSTRY,2009-06-01 00:00,6,2009,6.088,4.392,3.916,2.661
106701,E220217,Crofton Substation,01 - Vancouver Island,INDUSTRY,2009-06-01 00:00,6,2009,0.47,0.591,3.916,2.661
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,2009-06-01 00:00,6,2009,0.519,0.612,3.916,2.661
10,E266302,Quadra Island Cape Mudge Village,01 - Vancouver Island,INDUSTRY,2009-06-01 00:00,6,2009,0.649,0.542,3.916,2.661
10,E277063,Victoria James Bay MAML,01 - Vancouver Island,ENV,2009-07-01 00:00,7,2009,2.63,3.108,4.696,2.661
106700,E273443,Crofton Escarpment Way,01 - Vancouver Island,INDUSTRY,2009-07-01 00:00,7,2009,0.147,0.517,4.696,2.661
