"STATION_NAME_FULL","STATION_NAME","EMS_ID","SERIAL","ADDRESS","CITY","LAT","LONG","ELEVATION","STATUS_DESCRIPTION","OWNER","REGION","STATUS","OPENED","CLOSED","NAPS_ID"
"100 Mile House","100 Mile House","M116006",374,"Exeter Station Road","100 Mile House",51.6542,-121.375,1000,"NON OPERATIONAL","ENV","05 - Cariboo","OFF",1992-11-11 00:00:00,NA,10
"100 Mile House BCAC","100 Mile House BCAC","E218444",228,"on roof of access centre","100 MIle House",51.6461,-121.937,0,"NON OPERATIONAL","ENV","05 - Cariboo","OFF",2010-02-16 00:00:00,NA,10
"Abbotsford A Columbia Street","Abbotsford A Columbia Street","E289309",428,NA,"Abbotsford",49.0215,-122.3266,65,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",2012-07-25 00:00:00,NA,10
"Abbotsford A Columbia Street Met","Abbotsford A Columbia Street","E289309",429,"N/A","Abbotsford",49.0215,-122.3266,65,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",2012-07-25 06:28:41,NA,10
"Abbotsford Airport","Abbotsford Airport","0310081",306,"2nd Avenue","Abbotsford",49.0306,-122.3761,40,"NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",1978-01-07 00:00:00,NA,10
"Abbotsford Airport Walmsley Road","Abbotsford Airport Walmsley Road","E246240",262,"31790 Walmsley Road","Aldergrove",49.0235,-122.343,65,"METRO VANCOUVER NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",2001-05-01 00:00:00,NA,10
"Abbotsford Central","Abbotsford Central","E238212",261,"32995 Bevan Avenue","Abbotsford",49.0428,-122.3097,80,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",1998-09-17 00:00:00,NA,10
"Abbotsford Downtown","Abbotsford Downtown","E217029",307,"South Fraser Highway","Abbotsford",49.0492,-122.2922,20,"NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",1992-01-05 00:00:00,NA,10
"Agassiz Municipal Hall","Agassiz Municipal Hall","E293810",442,"Agassiz","Agassiz",49.238032,-121.762334,23,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",2013-06-03 00:00:00,NA,10
"Agassiz Municipal Hall Met","Agassiz Municipal Hall","E293810",443,"N/A","Agassiz",49.238032,-121.762334,23,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",2013-06-07 08:39:12,NA,10
"Ainsworth 100 Mile Met_15","Ainsworth 100 Mile","E230617",21,"Exeter Station Road","100 Mile House",51.6534,-121.366,1063,"OPERATIONAL","ENV","05 - Cariboo","OFF",1998-09-30 00:00:00,NA,10
"Ainsworth 100 Mile Met_60","Ainsworth 100 Mile","E230617",22,"Exeter Station Road","100 Mile House",51.6534,-121.366,1063,"OPERATIONAL","ENV","05 - Cariboo","OFF",1998-09-30 00:00:00,NA,10
"Alex Fraser Bridge","Alex Fraser Bridge","E288890",426,NA,"Delta",49.1592,-122.9422,160,"METRO VANCOUVER NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",2012-01-01 00:00:00,NA,10
"Anmore","Anmore","0310167",308,"Elementary Road","Anmore",49.3111,-122.8583,174,"METRO VANCOUVER NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",1980-01-08 00:00:00,NA,10
"Annacis Island","Annacis Island","M110514",309,"Alex Fraser Bridge","Vancouver",49.1597,-122.9422,160,"NON OPERATIONAL","ENV","02 - Lower Mainland","OFF",1986-08-09 00:00:00,NA,10
"Annacis Island Metro Van Inst Shop","Annacis Islandro Van Inst Shop","E289310",427,NA,"Delta",49.1658,-122.9606,6,"METRO VANCOUVER NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",2012-03-12 00:00:00,NA,10
"Armstrong Riverside","Armstrong Riverside","E259717",218,"Tolko Industries Sawmill","Armstrong",50.3833,-119.2283,416,"NON OPERATIONAL","ENV","03 - Southern Interior","OFF",2010-02-16 00:00:00,NA,10
"Ashcroft Ranch","Ashcroft Ranch","E296510",459,"N/A","None",50.704444,-121.34083,565,"METRO VANCOUVER NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",2014-02-28 14:11:00,NA,10
"Bessborough 237 Road","Bessborough 237 Road","E295729",450,"237 Road","None",55.791944,-120.483611,665,"OPERATIONAL","INDUSTRY","07 - Omineca-Peace","ON",2013-11-26 12:17:54,NA,104303
"Birchbank Golf Course","Birchbank Golf Course","E257435",520,"South end of golf course","Trail",49.157855,-117.73312,483,"OPERATIONAL","INDUSTRY","04 - Kootenay","ON",2016-08-17 00:00:00,NA,102230
"Birchbank Golf Course_15","Birchbank Golf Course","E257435",23,"South End of Golf Course","Trail",49.157855,-117.73312,483,"OPERATIONAL","INDUSTRY","04 - Kootenay","ON",2004-08-11 00:00:00,NA,102230
"Birchbank Golf Course_60","Birchbank Golf Course","E257435",97,"South end of golf course","Trail",49.157855,-117.73312,483,"OPERATIONAL","INDUSTRY","04 - Kootenay","ON",2004-08-11 00:00:00,NA,102230
"Birchbank Golf Course_OLD","Birchbank Golf Course","E257435",274,"South end of golf course","Genelle",49.1581,-117.7331,527,"NON OPERATIONAL","INDUSTRY","04 - Kootenay","OFF",2010-07-15 00:00:00,NA,102230
"Blueberry River First Nation School","Blueberry River First Nation School","E306063",510,"Stoney Flats Road","Buick",56.701655,-121.10429,675,"NON OPERATIONAL","ENV","07 - Omineca-Peace","OFF",2016-06-23 07:30:07,NA,10
"Blueberry River First Nation School_1","Blueberry River First Nation School","E306063",511,"Stoney Flats Road","Buick",56.701655,-121.10429,675,"NON OPERATIONAL","ENV","07 - Omineca-Peace","OFF",2016-06-23 09:32:59,NA,10
"Blueberry River First Nation School_15","Blueberry River First Nation School","E306063",512,"Stoney Flats Road","Buick",56.701655,-121.10429,675,"NON OPERATIONAL","ENV","07 - Omineca-Peace","OFF",2016-06-23 10:49:01,NA,10
"Blueberry River First Nation School_60","Blueberry River First Nation School","E306063",513,"Stoney Flats Road","Buick",56.701655,-121.10429,675,"NON OPERATIONAL","ENV","07 - Omineca-Peace","OFF",2016-06-23 13:13:11,NA,10
"Boston Bar RCMP Station","Boston Bar RCMP Station","E238240",310,"47864 Old Boston Bar Road","Boston Bar",49.8658,-121.4425,180,"NON OPERATIONAL","ENV","02 - Lower Mainland","OFF",1999-08-07 00:00:00,NA,10
"Brilliant","Brilliant","M114017",349,"Popoff Street","Castlegar",49.3217,-117.6403,0,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",1993-12-05 00:00:00,NA,10
"Buick Creek Elementary School","Buick Creek Elementary School","Buick OGC CAMEL",504,NA,"Buick",56.759244,-121.274225,0,"BC OGC MOBILE","BC OGC","07 - Omineca-Peace","OFF",2015-02-04 00:00:00,2016-07-21,10
"Burnaby Burmount","Burnaby Burmount","E244515",251,"7815 Shellmont Street","Burnaby",49.2667,-122.9356,101,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",2000-01-01 00:00:00,NA,10
"Burnaby Confederation Park","Burnaby Confederation Park","0310178",311,"Pandora Street and Alpha Avenue","Burnaby",49.2833,-123.0208,101,"METRO VANCOUVER NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",1977-01-08 00:00:00,NA,10
"Burnaby Edmonds","Burnaby Edmonds","E207420",312,"19th Street and 10th Avenue","Burnaby",49.2056,-122.9519,113,"METRO VANCOUVER NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",1987-01-06 00:00:00,NA,10
"Burnaby Kensington Park","Burnaby Kensington Park","0310177",242,"6400 East Hastings","Burnaby",49.2794,-122.9711,133,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",1975-01-03 00:00:00,NA,10
"Burnaby Mountain","Burnaby Mountain","E206270",313,"Ring Road SFU","Burnaby",49.2797,-122.9222,360,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",1984-01-01 00:00:00,NA,10
"Burnaby North Eton","Burnaby North Eton","E244517",253,"North Eton and Madison Avenue","Burnaby",49.2875,-123.0078,70,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",2000-01-01 00:00:00,NA,10
"Burnaby South","Burnaby South","E207418",249,"5455 Rumble Street","Burnaby",49.2153,-122.9856,122,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",1987-01-06 00:00:00,NA,10
