NAPS_ID,EMS_ID,STATION_NAME,REGION,OWNER,DATE,MONTH,YEAR,MONTHLY1-HR_AVG-STATION,ANNUAL1-HR_AVG-STATION,MONTHLY1-HR_AVG-REGION,ANNUAL1-HR_AVG-REGION
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1997-12-28 19:00:00,12,1997,4.273,4.273,4.273,4.273
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1998-01-01 00:00:00,1,1998,3.497,5.227,3.497,5.569
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1998-02-01 00:00:00,2,1998,3.83,5.227,3.83,5.569
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1998-03-01 00:00:00,3,1998,4.594,5.227,4.594,5.569
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1998-04-01 00:00:00,4,1998,4.631,5.227,4.631,5.569
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,1998-05-01 09:00:00,5,1998,4.787,6.084,5.701,5.569
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1998-05-01 00:00:00,5,1998,6.599,5.227,5.701,5.569
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,1998-06-01 00:00:00,6,1998,4.775,6.084,4.516,5.569
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1998-06-01 00:00:00,6,1998,4.261,5.227,4.516,5.569
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,1998-07-01 00:00:00,7,1998,5.378,6.084,5.477,5.569
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1998-07-01 00:00:00,7,1998,5.576,5.227,5.477,5.569
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,1998-08-01 00:00:00,8,1998,5.802,6.084,5.352,5.569
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1998-08-01 00:00:00,8,1998,4.903,5.227,5.352,5.569
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,1998-09-01 00:00:00,9,1998,6.364,6.084,5.286,5.569
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1998-09-01 00:00:00,9,1998,4.216,5.227,5.286,5.569
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,1998-10-01 00:00:00,10,1998,10.051,6.084,10.284,5.569
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1998-10-01 00:00:00,10,1998,10.516,5.227,10.284,5.569
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,1998-11-01 00:00:00,11,1998,6.971,6.084,6.458,5.569
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1998-11-01 00:00:00,11,1998,5.969,5.227,6.458,5.569
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,1998-12-01 00:00:00,12,1998,4.53,6.084,4.23,5.569
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1998-12-01 00:00:00,12,1998,3.931,5.227,4.23,5.569
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1999-01-01 00:00:00,1,1999,4.44,4.246,5.316,4.761
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,1999-01-01 00:00:00,1,1999,6.792,5.366,5.316,4.761
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1999-02-01 00:00:00,2,1999,3.32,4.246,3.32,4.761
102102,E229797,Nanaimo Labieux Road,01 - Vancouver Island,ENV,1999-03-04 13:00:00,3,1999,4.095,4.246,4.117,4.761
100304,E231866,Victoria Topaz,01 - Vancouver Island,ENV,1999-03-17 13:00:00,3,1999,4.159,5.366,4.117,4.761
