NAPS_ID,EMS_ID,STATION_NAME,REGION,OWNER,DATE,MONTH,YEAR,MONTHLY1-HR_AVG,ANNUAL1-HR_AVG
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-07-03,7,2012,0.153,0.198
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-07-31,8,2012,0.186,0.198
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-08-31,9,2012,0.213,0.198
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-09-30,10,2012,0.2,0.198
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-10-31,11,2012,0.223,0.198
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-11-30,12,2012,0.209,0.198
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-12-31,1,2013,0.203,0.176
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-01-31,2,2013,0.217,0.176
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-02-28,3,2013,0.186,0.176
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-03-31,4,2013,0.163,0.176
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-04-30,5,2013,0.154,0.176
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-05-31,6,2013,0.131,0.176
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-06-30,7,2013,0.12,0.176
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-07-31,8,2013,0.122,0.176
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-08-31,9,2013,0.164,0.176
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-09-30,10,2013,0.232,0.176
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-10-31,11,2013,0.201,0.176
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-11-30,12,2013,0.207,0.176
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-12-31,1,2014,0.219,0.172
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-01-31,2,2014,0.156,0.172
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-03-01,3,2014,0.175,0.172
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-03-31,4,2014,0.173,0.172
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-05-01,5,2014,0.162,0.172
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-05-31,6,2014,0.143,0.172
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-06-30,7,2014,0.132,0.172
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-07-31,8,2014,0.16,0.172
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-08-31,9,2014,0.174,0.172
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-09-30,10,2014,0.174,0.172
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-11-05,11,2014,0.211,0.172
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-11-30,12,2014,0.185,0.172
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-12-31,1,2015,0.223,0.2
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2015-01-31,2,2015,0.197,0.2
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2015-02-28,3,2015,0.204,0.2
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2015-03-31,4,2015,0.184,0.2
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2015-04-30,5,2015,0.168,0.2
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2015-05-31,6,2015,0.159,0.2
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2015-06-30,7,2015,0.184,0.2
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2015-07-31,8,2015,0.18,0.2
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2015-08-31,9,2015,0.193,0.2
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2015-09-30,10,2015,0.235,0.2
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2015-10-31,11,2015,0.254,0.2
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2015-11-30,12,2015,0.215,0.2
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2015-12-31,1,2016,0.193,0.173
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2016-01-31,2,2016,0.189,0.173
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2016-02-29,3,2016,0.185,0.173
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2016-03-31,4,2016,0.19,0.173
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2016-04-30,5,2016,0.166,0.173
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2016-05-31,6,2016,0.155,0.173
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2016-07-04,7,2016,0.196,0.173
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2016-07-31,8,2016,0.149,0.173
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2016-08-31,9,2016,0.144,0.173
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2016-09-30,10,2016,0.169,0.173
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2016-10-31,11,2016,0.171,0.173
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2016-11-30,12,2016,0.174,0.173
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2017-01-02,1,2017,0.203,0.147
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2017-01-31,2,2017,0.178,0.147
