NAPS_ID,EMS_ID,STATION_NAME,REGION,OWNER,DATE,MONTH,YEAR,MONTHLY1-HR_AVG,ANNUAL1-HR_AVG
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-05-31,5,2012,7.922,18.381
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-05-31,6,2012,20.038,18.381
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-06-30,7,2012,18.891,18.381
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-07-31,8,2012,21.073,18.381
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-08-31,9,2012,17.243,18.381
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-09-30,10,2012,17.328,18.381
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-10-31,11,2012,14.97,18.381
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-11-30,12,2012,19.36,18.381
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2012-12-31,1,2013,13.999,18.287
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-01-31,2,2013,20.818,18.287
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-02-28,3,2013,26.159,18.287
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-03-31,4,2013,27.189,18.287
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-04-30,5,2013,22.103,18.287
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-05-31,6,2013,19.021,18.287
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-06-30,7,2013,19.948,18.287
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-07-31,8,2013,17.571,18.287
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-08-31,9,2013,15.61,18.287
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-09-30,10,2013,9.45,18.287
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-10-31,11,2013,13.735,18.287
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-11-30,12,2013,14.139,18.287
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2013-12-31,1,2014,12.349,20.949
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-01-31,2,2014,30.989,20.949
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-03-01,3,2014,26.709,20.949
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-03-31,4,2014,29.226,20.949
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-05-01,5,2014,25.367,20.949
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-05-31,6,2014,20.569,20.949
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-06-30,7,2014,19.996,20.949
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-07-31,8,2014,18.86,20.949
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-08-31,9,2014,16.153,20.949
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-09-30,10,2014,15.675,20.949
10,E289309,Abbotsford A Columbia Street,02 - Lower Mainland,MVRD,2014-10-31,11,2014,18.333,20.949
